rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,20429,5676,8.84814,266.968,44,357.864,1,500,13840.9,818.715,268.901,9976.97,244219,1,636,3600,-1
002,83137,12042,8.85133,970.033,105,1424.44,1,1823,244270,1739.85,827.764,11140.6,693177,1,637,3600,-1
003,19303,5106,8.8187,247.304,51,301.828,1,438,12080.7,773.762,198.664,6795.53,296134,1,630,3600,-1
004,21391,5379,8.8238,284.439,85,329.511,1,446,10851.2,767.255,277.928,5336.15,203512,1,633,3600,-1
005,28692,6272,8.93414,358.05,87,437.085,1,606,20846.7,845.615,267.708,2501.24,132560,1,667,3600,-1
006,31305,7181,8.85111,383.074,106,467.171,1,621,17435.4,1041.33,431.411,24418.2,1008150,1,639,3600,-1
007,70883,12984,8.85973,838.661,29,1363.58,1,1753,201777,1826.02,856.465,20672.5,1565290,1,647,3600,-1
008,31720,7800,8.78454,408.799,77,546.883,1,719,29118.1,1125.18,476.719,10748.5,494195,1,628,3600,-1
009,17168,4044,8.84812,232.292,26,285.685,1,451,19010.4,571.222,163.832,1699.96,55296,1,644,3600,-1
010,18682,5160,8.93074,267.346,71,285.266,1,431,12622.9,679.338,234.861,3041.36,161367,1,683,3600,-1
012,18109,4726,8.87056,230.023,45,295.146,1,408,11482.3,655.453,204.096,2122.42,86013.4,1,648,3600,-1
013,34491,7876,8.91729,424.412,54,626.742,1,825,33017,1085.06,416.419,7617.1,267512,1,667,3600,-1
014,25823,5948,8.80135,325.026,96,380.607,1,505,13015.1,856.147,288.547,3602.15,220864,1,633,3600,-1
015,93927,13345,8.86522,1080.64,82,1641.17,1,2073,334338,1873.46,1066.41,7028.68,705289,1,650,3600,-1
016,59367,12143,8.91502,699.574,51,1098.06,1,1375,113131,1683.22,728.378,7873.64,593578,1,658,3600,-1
017,16801,4977,8.87158,235.781,30,305.196,1,471,14565.5,692.674,198.919,2312.66,84717.5,1,643,3600,-1
018,31575,7189,8.86667,386.834,81,503.003,1,699,23046.8,985.441,462.523,3851.93,147292,1,669,3600,-1
019,42324,8379,8.83627,512.892,44,772.747,1,999,61002.3,1210.3,613.398,4965.72,186683,1,636,3600,-1
020,29922,7765,8.92815,363.763,54,510.399,1,681,25684.6,1065.58,345.571,8109.72,453613,1,661,3600,-1
021,24813,6343,8.89104,319.451,14,489.445,1,662,32216.6,914.583,285.164,5057.21,190673,1,633,3600,-1
022,17401,4910,8.87407,241.857,41,316.211,1,435,11736.5,671.791,238.045,6362.47,182187,1,649,3600,-1
023,44629,8802,8.92123,528.082,46,791.247,1,1036,63254.2,1207.85,479.775,3565.36,250911,1,672,3600,-1
024,71110,11333,8.87013,847.334,15,1335.28,1,1772,225614,1531.38,859.9,3239.19,175950,1,663,3600,-1
025,66733,11441,8.85852,778.457,20,1223.35,1,1582,172813,1642.85,719.279,4944.78,359455,1,645,3600,-1
027,14409,3772,8.82076,202.405,25,237.517,1,384,15289.6,534.943,120.51,1888.26,65266.3,1,631,3600,-1
028,17477,5055,8.89928,250.85,72,288.48,1,412,8549.03,725.927,219.342,3659.84,131861,1,641,3600,-1
029,77856,12115,8.82232,908.977,91,1348.53,1,1738,202061,1718.27,966.9,5129.75,478291,1,642,3600,-1
030,26278,6843,8.88623,325.111,17,490.955,1,652,22874.3,967.161,430.085,7515.8,324187,1,656,3600,-1
031,32454,7541,8.86807,406.282,127,457.827,1,613,16303.8,1069.88,375.773,3758.85,189845,1,640,3600,-1
032,12540,4111,8.83604,176.356,35,220.422,1,343,6927.92,569.353,150.256,3342.76,97833.5,1,636,3600,-1
033,16661,4936,8.75371,230.94,54,279.519,1,403,10074.4,724.981,226.549,2582.74,93601.8,1,612,3600,-1
034,39182,8306,8.92407,474.353,93,646.582,1,835,36110.5,1146.73,567.168,7307.07,272053,1,668,3600,-1
035,18336,4912,8.86107,243.377,34,311.234,1,468,15659.7,679.678,213.719,2198.33,95339.3,1,649,3600,-1
038,17816,4563,8.82609,257.693,78,270.113,1,417,10735.9,651.281,137.643,1882.23,82501.3,1,649,3600,-1
040,14544,4217,8.83794,192.795,58,212.87,1,309,6023.93,587.159,157.725,3909.19,113212,1,642,3600,-1
041,18296,4514,8.83966,245.16,17,313.018,1,490,22058.4,654.196,187.749,3994.84,131436,1,631,3600,-1
042,18062,4834,8.73553,230.542,45,288.066,1,426,10957,708.521,221.183,4181.26,104996,1,617,3600,-1
043,19619,5118,8.87102,264.757,28,343.379,1,520,20666.6,746.598,241.332,3074.48,143946,1,645,3600,-1
044,19158,4866,8.832,258.906,58,304.965,1,442,13264.4,700.848,149.125,3757.55,173519,1,643,3600,-1
046,25288,5784,8.87378,329.747,50,411.634,1,613,28369.2,814.93,246.54,2620.31,146655,1,638,3600,-1
047,16685,4728,8.88788,251.846,64,274.397,1,419,12412.6,639.748,186.78,2577.48,101745,1,656,3600,-1
048,22323,5652,8.8966,298.364,58,364.252,1,539,17578.3,768.1,265.302,3456.75,140101,1,666,3600,-1
049,35971,8047,8.84751,417.134,21,616.89,1,872,43512.4,1180.19,513.418,3208,195992,1,650,3600,-1
